RacerID,Course,RacesRun,QuinellaRate,FirstPlaceRate,Nige,Makuri
3022,5,1026,29.5,9.4,0,17
3022,6,478,18.8,4.1,0,5
3024,1,2716,70.3,51.6,1289,0
3024,2,2961,47.6,21.4,0,221
3024,3,554,38.2,20.0,0,49
3024,4,164,38.4,15.2,0,13
3024,5,82,28.0,10.9,0,2
3024,6,60,30.0,8.3,0,0
3025,1,1055,58.2,33.1,308,0
3025,2,1195,45.8,18.4,1,45
3025,3,1111,31.0,11.2,0,36
3025,4,956,30.3,11.8,0,29
3025,5,632,17.5,5.0,0,9
3025,6,339,8.8,2.6,0,0
3036,1,1031,58.8,35.8,325,0
3036,2,1113,41.6,17.9,0,61
3036,3,1120,36.5,16.5,0,68
3036,4,1145,32.5,14.6,0,87
3036,5,849,22.7,9.3,0,27
3036,6,513,12.4,4.2,0,6
3044,1,903,64.3,38.2,303,0
3044,2,938,46.3,21.1,0,47
3044,3,946,34.0,15.2,0,38
3044,4,990,36.4,14.3,0,31
3044,5,967,23.1,6.3,0,13
3044,6,640,13.2,2.3,0,0
3051,1,845,58.2,36.9,267,0
3051,2,862,38.0,16.3,0,60
3051,3,1001,33.6,17.0,0,73
3051,4,920,31.9,15.2,0,52
3051,5,846,22.4,10.1,0,20
3051,6,904,17.0,4.9,0,4
3052,1,1343,45.7,22.7,278,0
3052,2,1215,31.1,12.5,0,70
3052,3,890,21.6,8.2,0,51
3052,4,709,22.9,10.8,0,54
3052,5,486,11.5,2.4,0,7
3052,6,306,6.2,0.6,0,0
3054,1,1198,78.3,60.4,694,0
3054,2,1119,54.1,25.8,0,130
3054,3,1164,48.7,25.8,0,171
3054,4,1283,44.6,23.3,0,155
3054,5,938,27.7,11.5,0,34
3054,6,587,12.1,3.0,0,4
3058,1,968,60.7,36.4,322,0
3058,2,1487,40.6,18.2,0,65
3058,3,1057,28.0,10.6,0,39
3058,4,911,24.7,9.4,0,28
3058,5,677,18.9,4.8,0,2
3058,6,284,12.3,2.8,0,1
3064,1,1237,69.5,47.2,547,0
3064,2,1172,48.9,25.6,0,95
3064,3,1255,39.5,18.6,0,83
3064,4,1208,36.5,18.7,0,91
3064,5,650,24.9,11.6,0,18
3064,6,269,13.7,4.4,0,3
3065,1,952,36.1,17.9,140,1
3065,2,1108,29.0,8.3,0,29
3065,3,1173,26.1,8.3,0,46
3065,4,1088,22.0,7.6,0,31
3065,5,950,18.1,3.8,0,13
3065,6,655,8.2,0.9,0,1
3066,1,1374,42.5,21.0,260,0
3066,2,1553,28.9,10.6,0,68
3066,3,1154,23.2,9.1,0,59
3066,4,754,21.7,8.0,0,28
3066,5,421,12.1,3.3,0,5
3066,6,242,9.0,1.6,0,1
3070,1,1650,78.6,60.9,938,1
3070,2,1516,51.8,27.8,0,137
3070,3,1329,44.8,23.6,0,111
3070,4,1061,42.2,21.0,0,110
3070,5,384,37.7,16.9,0,22
3070,6,181,23.7,11.0,0,9
3072,1,2941,60.8,42.4,1180,2
3072,2,2213,33.1,14.1,0,78
3072,3,757,29.9,15.4,0,30
3072,4,263,27.7,10.2,0,7
3072,5,97,20.6,10.3,0,3
3072,6,47,12.7,2.1,0,0
3073,1,587,50.9,32.8,179,1
3073,2,589,38.2,20.0,0,52
3073,3,764,37.9,21.0,0,84
3073,4,987,39.5,21.6,0,101
3073,5,993,32.5,16.0,0,75
3073,6,1133,22.0,10.2,0,50
3075,1,1309,68.4,46.9,558,0
3075,2,1319,51.6,24.1,0,110
3075,3,1414,41.4,21.2,0,129
3075,4,1231,39.3,20.7,0,142
3075,5,989,23.7,8.9,0,33
3075,6,678,13.8,4.5,0,11
3079,1,899,59.6,35.2,281,0
3079,2,929,41.6,19.9,0,114
3079,3,1015,40.1,21.2,0,147
3079,4,910,39.0,22.7,0,113
3079,5,695,29.9,16.4,0,61
3079,6,488,23.5,9.0,0,26
3081,1,1443,77.6,60.3,807,0
3081,2,1460,56.7,31.3,0,167
3081,3,1038,44.8,22.5,0,116
3081,4,975,38.6,17.9,0,75
3081,5,723,25.4,9.1,0,14
3081,6,406,12.5,2.2,0,1
3085,1,671,64.9,39.9,237,0
3085,2,743,49.8,22.8,0,57
3085,3,712,41.9,20.2,0,52
3085,4,937,44.1,20.0,0,67
3085,5,890,32.2,12.7,0,31
3085,6,525,21.5,6.4,0,5
3090,1,549,39.5,21.8,104,0
3090,2,606,30.0,11.7,0,20
3090,3,683,25.3,13.7,0,43
3090,4,831,28.1,15.5,0,77
3090,5,819,14.5,7.3,0,20
3090,6,538,7.6,2.4,0,6
3095,1,790,53.6,26.4,194,0
3095,2,813,39.3,14.1,0,40
3095,3,895,34.8,15.5,0,66
3095,4,900,29.5,11.2,0,59
3095,5,758,22.4,7.2,0,21
3095,6,488,9.6,1.8,0,3
3105,1,1057,63.0,36.9,345,1
3105,2,999,43.9,20.0,0,114
3105,3,1157,39.3,16.0,0,91
3105,4,1209,35.6,16.6,0,112
3105,5,1267,24.3,7.9,0,43
3105,6,1065,14.2,3.2,0,12
3107,1,1237,67.7,44.7,518,0
3107,2,1211,41.8,17.5,0,69
3107,3,1232,36.8,17.6,0,96
3107,4,1335,33.0,15.2,0,95
3107,5,1062,23.0,8.7,0,34
3107,6,635,11.1,3.1,0,7
3108,1,775,46.7,24.6,161,0
3108,2,937,33.6,13.0,0,50
3108,3,1079,27.7,12.3,0,55
3108,4,1041,27.2,9.3,0,38
3108,5,781,18.4,5.8,0,11
3108,6,585,7.5,2.2,0,4
3117,1,836,25.8,11.4,84,0
3117,2,934,17.4,4.7,0,19
3117,3,823,9.8,2.9,0,12
3117,4,512,7.0,1.5,0,4
3117,5,385,3.6,0.7,0,1
3117,6,264,1.8,0.3,0,1
3120,1,516,50.5,29.6,144,0
3120,2,621,35.7,14.3,0,25
3120,3,614,28.8,11.4,0,22
3120,4,853,30.2,13.0,0,37
3120,5,829,19.7,7.2,0,16
3120,6,423,8.0,1.8,0,0
3121,1,988,66.4,45.4,404,0
3121,2,1127,52.8,27.9,0,91
3121,3,1168,40.2,21.4,0,98
3121,4,985,40.1,19.8,0,71
3121,5,677,23.3,6.6,0,13
3121,6,306,12.4,4.5,0,0
3122,1,897,56.7,31.2,253,0
3122,2,989,39.5,18.2,0,54
3122,3,968,35.3,15.1,0,41
3122,4,1059,30.6,12.1,0,48
3122,5,966,18.8,6.8,0,7
3122,6,715,10.4,2.2,0,4
3123,1,1035,51.2,31.5,304,0
3123,2,1408,36.2,14.4,0,78
3123,3,1303,27.5,10.9,0,51
3123,4,1128,27.1,10.9,0,40
3123,5,561,18.0,6.0,0,5
3123,6,149,12.0,2.6,0,0
3128,1,717,41.0,21.9,144,0
3128,2,825,26.1,10.1,0,21
3128,3,811,22.3,9.0,0,27
3128,4,722,15.7,6.7,0,19
3128,5,530,10.3,3.0,0,2
3128,6,421,7.8,1.9,0,4
3135,1,921,67.3,47.4,405,0
3135,2,1191,46.7,24.2,0,82
3135,3,952,38.8,21.6,0,79
3135,4,846,32.6,17.1,0,61
3135,5,537,16.5,6.8,0,10
3135,6,183,8.7,3.2,0,1
3136,1,760,46.9,25.2,175,0
3136,2,906,29.8,14.6,0,65
3136,3,890,26.7,12.9,0,78
3136,4,831,22.5,9.6,0,43
3136,5,525,15.2,5.1,0,9
3136,6,199,7.5,2.5,0,3
3137,1,608,37.9,20.0,106,0
3137,2,747,28.3,10.5,0,23
3137,3,898,25.6,9.6,0,40
3137,4,950,25.6,10.4,0,45
3137,5,866,17.4,5.3,0,14
3137,6,454,8.5,2.2,0,0
3138,1,575,29.0,12.5,62,0
3138,2,761,28.1,7.8,0,13
3138,3,856,21.7,6.7,0,17
3138,4,865,25.2,10.5,0,25
3138,5,730,14.3,3.5,0,3
3138,6,536,8.5,0.9,0,1
3139,1,914,32.7,12.5,97,0
3139,2,872,24.3,8.2,0,32
3139,3,634,19.4,6.6,0,10
3139,4,410,16.5,5.3,0,10
3139,5,261,16.4,4.2,0,2
3139,6,278,11.5,2.8,0,1
3141,1,966,63.1,38.2,340,0
3141,2,1019,40.8,16.7,0,49
3141,3,1039,35.3,18.0,0,75
3141,4,1149,34.2,17.4,0,98
3141,5,1086,25.9,10.5,0,44
3141,6,805,13.9,3.6,0,7
3142,1,586,33.6,17.2,89,1
3142,2,697,29.8,10.6,0,36
3142,3,691,23.5,8.6,0,22
3142,4,707,23.6,9.7,0,22
3142,5,673,11.5,2.9,0,5
3142,6,415,8.6,1.4,0,1
3151,1,1195,71.1,53.1,601,1
3151,2,1204,47.5,22.9,0,87
3151,3,1270,42.1,21.2,0,90
3151,4,1065,36.0,17.0,0,62
3151,5,755,23.0,8.7,0,13
3151,6,470,7.2,2.1,0,0
3153,1,1188,61.2,36.3,393,0
3153,2,1482,42.4,17.9,0,58
3153,3,1059,26.5,10.1,0,26
